大葱,0.70,0.80,0.90,冀\鲁,斤,2021-07-15
小葱,1.50,1.75,2.00,普通,斤,2021-07-15
蒜苗,2.00,3.50,5.00,苏鲁,斤,2021-07-15
蒜黄,6.00,6.50,7.00,\冀,斤,2021-07-15
青蒜,1.40,1.60,1.80,冀,斤,2021-07-15
平菇,2.00,2.50,3.00,\小叶,斤,2021-07-15
香菇,4.00,4.50,5.00,普通,斤,2021-07-15
白玉菇,3.00,3.50,4.00,普通,斤,2021-07-15
口蘑,9.00,9.50,10.00,普通,斤,2021-07-15
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-07-15
金针菇,1.50,2.00,2.50,普通,斤,2021-07-15
大白菜,0.40,0.45,0.50,\新,斤,2021-07-15
娃娃菜,0.50,0.60,0.70,大\冀新,斤,2021-07-15
小白菜,1.80,1.90,2.00,普通,斤,2021-07-15
芹菜,1.00,1.20,1.40,\冀,斤,2021-07-15
西芹,1.80,2.00,2.20,普通,斤,2021-07-15
菠菜,2.00,2.25,2.50,冀\蒙,斤,2021-07-15
莴笋,0.60,0.80,1.00,普通,斤,2021-07-15
团生菜,1.20,1.50,1.80,毛|净,斤,2021-07-15
圆白菜,0.50,0.65,0.80,\冀,斤,2021-07-15
大葱,0.70,0.80,0.90,冀\鲁,斤,2021-07-15
小葱,1.50,1.75,2.00,普通,斤,2021-07-15
蒜苗,2.00,3.50,5.00,苏鲁,斤,2021-07-15
蒜黄,6.00,6.50,7.00,\冀,斤,2021-07-15
青蒜,1.40,1.60,1.80,冀,斤,2021-07-15
平菇,2.00,2.50,3.00,\小叶,斤,2021-07-15
香菇,4.00,4.50,5.00,普通,斤,2021-07-15
白玉菇,3.00,3.50,4.00,普通,斤,2021-07-15
口蘑,9.00,9.50,10.00,普通,斤,2021-07-15
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-07-15
金针菇,1.50,2.00,2.50,普通,斤,2021-07-15
大白菜,0.40,0.45,0.50,\新,斤,2021-07-15
娃娃菜,0.50,0.60,0.70,大\冀新,斤,2021-07-15
小白菜,1.80,1.90,2.00,普通,斤,2021-07-15
芹菜,1.00,1.20,1.40,\冀,斤,2021-07-15
西芹,1.80,2.00,2.20,普通,斤,2021-07-15
菠菜,2.00,2.25,2.50,冀\蒙,斤,2021-07-15
莴笋,0.60,0.80,1.00,普通,斤,2021-07-15
团生菜,1.20,1.50,1.80,毛|净,斤,2021-07-15
圆白菜,0.50,0.65,0.80,\冀,斤,2021-07-15
紫甘蓝,0.60,0.65,0.70,冀,斤,2021-07-15
散叶生菜,2.00,2.25,2.50,\京冀,斤,2021-07-15
油菜,1.60,1.90,2.20,\京冀,斤,2021-07-15
香菜,4.00,6.00,8.00,\冀,斤,2021-07-15
茴香,3.00,3.50,4.00,\冀,斤,2021-07-15
韭菜,1.00,1.25,1.50,普通,斤,2021-07-15
韭菜苔,3.20,3.50,3.80,普通,斤,2021-07-15
苦菊,3.00,3.75,4.50,辽,斤,2021-07-15
油麦菜,2.00,2.10,2.20,\京,斤,2021-07-15
散菜花,1.20,1.35,1.50,豫\苏,斤,2021-07-15
绿菜花,1.50,1.75,2.00,京\ 冀,斤,2021-07-15
绿豆芽,0.95,0.98,1.00,普通,斤,2021-07-15
黄豆芽,0.85,0.88,0.90,普通,斤,2021-07-15
番茄,1.00,1.25,1.50,川鲁蒙,斤,2021-07-15
番茄（精品）,1.40,1.70,2.00,\鲁新,斤,2021-07-15
樱西,1.80,2.30,2.80,小红,斤,2021-07-15
黄瓜,0.70,1.05,1.40,蒙辽袋\鲁,斤,2021-07-15
黄瓜(鲜干花),1.50,1.75,2.00,冀,斤,2021-07-15
小黄瓜,2.80,3.65,4.50,旱\荷兰,斤,2021-07-15
茄子,0.50,0.75,1.00,冀,斤,2021-07-15
长茄,0.70,0.95,1.20,辽,斤,2021-07-15
广茄,0.50,0.75,1.00,冀/京,斤,2021-07-15
线茄,1.00,1.50,2.00,冀,斤,2021-07-15
吊冬瓜,0.40,0.45,0.50,冀,斤,2021-07-15
地冬瓜,0.25,0.28,0.30,冀,斤,2021-07-15
小毛冬瓜,0.60,0.80,1.00,冀\长,斤,2021-07-15
架豆,1.40,1.70,2.00,\冀晋新,斤,2021-07-15
豆王,1.80,2.90,4.00,晋,斤,2021-07-15
扁豆,1.50,2.25,3.00,冀,斤,2021-07-15
豇豆,1.50,2.05,2.60,鲁\京,斤,2021-07-15
白不老,1.50,2.25,3.00,滇|鲁,斤,2021-07-15
油豆,2.00,3.25,4.50,鲁,斤,2021-07-15
毛豆,2.00,2.40,2.80,普通,斤,2021-07-15
玉米,0.70,0.80,0.90,川\冀,斤,2021-07-15
花生,3.00,4.50,6.00,桂\粤,斤,2021-07-15
苦瓜,1.00,1.15,1.30,冀/鲁,斤,2021-07-15
丝瓜,1.00,1.75,2.50,豫\鲁,斤,2021-07-15
瓠子,0.60,0.90,1.20,普通,斤,2021-07-15
西葫芦,0.80,1.05,1.30,滇/鲁,斤,2021-07-15
佛手瓜,2.30,2.40,2.50,普通,斤,2021-07-15
金丝南瓜,0.50,0.55,0.60,冀鲁,斤,2021-07-15
南北瓜,0.65,0.75,0.85,桂,斤,2021-07-15
尖椒,0.80,1.15,1.50,冀晋/鲁新,斤,2021-07-15
螺丝椒,1.80,2.65,3.50,普通,斤,2021-07-15
柿子椒,0.80,1.40,2.00,\鲁新,斤,2021-07-15
线椒,1.20,1.60,2.00,\鲁琼新,斤,2021-07-15
杭椒,1.40,1.70,2.00,普通,斤,2021-07-15
小米椒,4.00,4.50,5.00,滇,斤,2021-07-15
彩椒,3.00,4.00,5.00,红\黄,斤,2021-07-15
白萝卜,0.30,0.35,0.40,\冀,斤,2021-07-15
心里美,0.80,1.00,1.20,冀泥/洗,斤,2021-07-15
卞萝卜,0.50,0.55,0.60,冀,斤,2021-07-15
青萝卜,0.70,0.85,1.00,冀\鲁新,斤,2021-07-15
胡萝卜,0.40,0.50,0.60,冀/鲁新,斤,2021-07-15
胡萝卜（洗）,0.60,0.70,0.80,冀/鲁,斤,2021-07-15
黄心土豆,0.50,0.60,0.70,冀,斤,2021-07-15
V7土豆,0.90,1.00,1.10,冀,斤,2021-07-15
黄葱头,0.60,0.70,0.80,\蒙甘,斤,2021-07-15
红葱头,1.00,1.10,1.20,老/新,斤,2021-07-15
山药,2.10,2.30,2.50,脆\麻新,斤,2021-07-15
铁棍山药,3.50,4.75,6.00,普通,斤,2021-07-15
莲藕,6.00,6.25,6.50,冀\云川桂,斤,2021-07-15
红薯,1.00,1.25,1.50,\冀新,斤,2021-07-15
红薯,1.60,1.70,1.80,精品,斤,2021-07-15
茭白,1.80,2.30,2.80,京\浙,斤,2021-07-15
凉薯,1.40,1.45,1.50,普通,斤,2021-07-15
荸荠,3.50,4.00,4.50,皖,斤,2021-07-15
芋头,1.50,1.75,2.00,\鲁,斤,2021-07-15
姜,3.00,4.15,5.30,姜头\整,斤,2021-07-15
大蒜,2.80,3.30,3.80,\苏,斤,2021-07-15
新蒜,2.50,2.75,3.00,泥/,斤,2021-07-15
蒜米,3.20,3.50,3.80,普通,斤,2021-07-15
油菜,2.00,2.25,2.50,水菜,斤,2021-07-15
小白菜,2.00,2.25,2.50,水菜,斤,2021-07-15
油麦菜,2.50,2.75,3.00,水菜,斤,2021-07-15
奶白菜,2.50,2.75,3.00,水菜,斤,2021-07-15
散生菜,3.00,3.25,3.50,水菜,斤,2021-07-15
香葱,2.00,2.25,2.50,水菜,斤,2021-07-15
茼蒿,6.00,6.50,7.00,水菜,斤,2021-07-15
蒿子秆,4.50,4.75,5.00,水菜,斤,2021-07-15
水萝卜,2.00,2.50,3.00,水菜,斤,2021-07-15
樱桃萝卜,3.00,3.25,3.50,水菜,斤,2021-07-15
香芹,2.00,2.25,2.50,水菜,斤,2021-07-15
菠菜,4.00,4.50,5.00,水菜,斤,2021-07-15
苋菜,3.00,3.25,3.50,水菜,斤,2021-07-15
菊花菜,3.00,3.50,4.00,水菜,斤,2021-07-15
青蒜,1.50,1.75,2.00,水菜,斤,2021-07-15
盖菜,2.00,2.50,3.00,水菜,斤,2021-07-15
芥兰,3.00,3.25,3.50,水菜,斤,2021-07-15
菜心,3.00,3.25,3.50,水菜,斤,2021-07-15
空心菜,1.50,2.00,2.50,水菜,斤,2021-07-15
鸡毛菜,6.00,7.00,8.00,水菜,斤,2021-07-15
荆芥,3.00,3.25,3.50,水菜,斤,2021-07-15
紫苏叶,4.00,4.25,4.50,水菜,斤,2021-07-15
豌豆苗,4.00,4.25,4.50,水菜,斤,2021-07-15
快菜,2.00,2.25,2.50,水菜,斤,2021-07-15
苦菊,4.00,4.50,5.00,水菜,斤,2021-07-15
穿心莲,1.50,1.75,2.00,水菜,斤,2021-07-15
木耳菜,3.00,3.25,3.50,水菜,斤,2021-07-15
箱装菠萝（上六下六）,1.40,1.70,2.00,其他类,斤,2021-07-15
圣女果（千禧）,4.00,4.50,5.00,其他类,斤,2021-07-15
百香果,10.00,11.00,12.00,其他类,斤,2021-07-15
冬枣,12.00,16.00,20.00,其他类,斤,2021-07-15
杨梅,8.00,10.00,12.00,其他类,斤,2021-07-15
蓝莓,13.00,20.50,28.00,其他类,斤,2021-07-15
火龙果,4.00,5.00,6.00,其他类,斤,2021-07-15
木瓜,3.00,3.15,3.30,其他类,斤,2021-07-15
柠檬,3.50,3.75,4.00,其他类,斤,2021-07-15
石榴（四川）,4.00,5.00,6.00,其他类,斤,2021-07-15
青皮核桃,1.30,1.40,1.50,其他类,斤,2021-07-15
去皮核桃,4.00,4.20,4.40,其他类,斤,2021-07-15
姑娘果（灯笼果）,10.00,12.50,15.00,其他类,斤,2021-07-15
鸭梨,1.20,1.30,1.40,梨类,斤,2021-07-15
雪花梨,1.20,1.25,1.30,梨类,斤,2021-07-15
皇冠梨（标箱）,1.80,1.90,2.00,梨类,斤,2021-07-15
青皇冠,1.50,1.60,1.70,梨类,斤,2021-07-15
绿宝石,1.40,1.50,1.60,梨类,斤,2021-07-15
丰水梨,1.20,1.60,2.00,梨类,斤,2021-07-15
酥梨,1.50,1.60,1.70,梨类,斤,2021-07-15
库尔勒香梨,3.00,3.25,3.50,梨类,斤,2021-07-15
红香酥梨7号,1.30,1.40,1.50,梨类,斤,2021-07-15
红啤梨,3.00,3.25,3.50,梨类,斤,2021-07-15
早酥梨,1.20,1.35,1.50,梨类,斤,2021-07-15
夏橙,2.00,2.50,3.00,柑橘类,斤,2021-07-15
伦晚,2.40,2.70,3.00,柑橘类,斤,2021-07-15
油桃,1.20,2.60,4.00,桃李杏类,斤,2021-07-15
蟠桃,3.50,5.00,6.50,桃李杏类,斤,2021-07-15
水蜜桃,4.00,6.50,9.00,桃李杏类,斤,2021-07-15
黄油桃,2.50,3.25,4.00,桃李杏类,斤,2021-07-15
黄毛桃,2.50,3.25,4.00,桃李杏类,斤,2021-07-15
突围,1.20,1.60,2.00,桃李杏类,斤,2021-07-15
京红桃,1.80,2.40,3.00,桃李杏类,斤,2021-07-15
黄油蟠,3.50,4.75,6.00,桃李杏类,斤,2021-07-15
沙红桃,1.40,1.70,2.00,桃李杏类,斤,2021-07-15
猕猴桃（海沃德）,2.50,2.75,3.00,桃李杏类,斤,2021-07-15
吊干杏,12.00,15.00,18.00,桃李杏类,斤,2021-07-15
李子,1.00,3.00,5.00,桃李杏类,斤,2021-07-15
杏梅,2.00,3.00,4.00,桃李杏类,斤,2021-07-15
串红杏,1.00,1.25,1.50,桃李杏类,斤,2021-07-15
无籽小号-大号,1.20,1.30,1.40,西瓜类,斤,2021-07-15
麒麟、甜蜜蜜,1.60,2.00,2.40,西瓜类,斤,2021-07-15
特小风,2.00,2.15,2.30,西瓜类,斤,2021-07-15
L600吊秧瓜,1.50,2.00,2.50,西瓜类,斤,2021-07-15
甜王,0.80,1.00,1.20,西瓜类,斤,2021-07-15
硒沙瓜,1.20,1.30,1.40,西瓜类,斤,2021-07-15
蜜童,1.40,1.60,1.80,西瓜类,斤,2021-07-15
墨童西瓜,1.40,1.55,1.70,西瓜类,斤,2021-07-15
国产香蕉,2.20,2.60,3.00,香蕉类,斤,2021-07-15
南美、菲律宾香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-15
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-07-15
皇帝(小米）香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-15
晓蜜25号,1.80,2.00,2.20,甜瓜类,斤,2021-07-15
黄金瓜／金蜜,2.00,2.10,2.20,甜瓜类,斤,2021-07-15
玉菇,1.50,1.75,2.00,甜瓜类,斤,2021-07-15
网纹,2.50,2.75,3.00,甜瓜类,斤,2021-07-15
西洲蜜,1.30,1.55,1.80,甜瓜类,斤,2021-07-15
24/白糖罐,1.50,1.75,2.00,甜瓜类,斤,2021-07-15
羊角蜜,2.40,2.70,3.00,甜瓜类,斤,2021-07-15
花蕾甜瓜,2.00,2.50,3.00,甜瓜类,斤,2021-07-15
久红瑞,1.30,1.45,1.60,甜瓜类,斤,2021-07-15
